timestamp,can_id,data
"2025-08-27T13-59-17.101+05:30","0x131","0x00 0x00 0x00 0x00 0x27 0x10 0x00 0x00"
"2025-08-27T13-59-17.108+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.116+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.123+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.130+05:30","0x49","0x0A 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.137+05:30","0x63B","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.149+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.156+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.163+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.171+05:30","0x161","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.178+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.185+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.192+05:30","0x43","0x00 0x01 0xFD 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.205+05:30","0x41","0x05 0x01 0x46 0x01 0xE3 0x00 0xB1 0x00"
"2025-08-27T13-59-17.212+05:30","0x49","0x0B 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.219+05:30","0x314","0x00 0x01 0x68 0x01 0xC2 0x00 0x00 0x00"
"2025-08-27T13-59-17.227+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.234+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.241+05:30","0x162","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.248+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.256+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.263+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.270+05:30","0x163","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.277+05:30","0x4","0x00 0x40 0x00 0x00 0x00 0x00 0x00 0x5F"
"2025-08-27T13-59-17.284+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.292+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.299+05:30","0x49","0x0C 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.306+05:30","0x111","0x00 0x00 0x00 0x00 0x02 0x00 0x00 0x00"
"2025-08-27T13-59-17.313+05:30","0x131","0x00 0x00 0x00 0x00 0x27 0x10 0x00 0x00"
"2025-08-27T13-59-17.321+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.329+05:30","0x240","0x00 0x00 0x00 0x00 0x41 0x00 0x82 0x00"
"2025-08-27T13-59-17.336+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.343+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.351+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.358+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.365+05:30","0x161","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.372+05:30","0x2096","0x02 0x00 0x09 0x06 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.380+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.387+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.395+05:30","0x41","0x06 0x00 0x25 0x02 0x38 0x04 0xD8 0x00"
"2025-08-27T13-59-17.402+05:30","0x42","0x00 0x10 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.410+05:30","0x43","0x00 0x01 0xFD 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.417+05:30","0x49","0x0D 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.425+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.432+05:30","0x162","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.439+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.473+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.480+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.488+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.495+05:30","0x163","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.502+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.510+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.517+05:30","0x49","0x0E 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.524+05:30","0x314","0x00 0x01 0x68 0x01 0xC2 0x00 0x00 0x00"
"2025-08-27T13-59-17.531+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.539+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.546+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.554+05:30","0x111","0x00 0x00 0x00 0x00 0x02 0x00 0x00 0x00"
"2025-08-27T13-59-17.561+05:30","0x131","0x00 0x00 0x00 0x00 0x27 0x10 0x00 0x00"
"2025-08-27T13-59-17.569+05:30","0x63B","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.576+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.584+05:30","0x161","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.594+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.601+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.609+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.616+05:30","0x40","0x00 0x00 0x22 0x04 0xEA 0x00 0x00 0x00"
"2025-08-27T13-59-17.624+05:30","0x43","0x00 0x01 0xFD 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.631+05:30","0x41","0x07 0x00 0x25 0x02 0x38 0x00 0x00 0x00"
"2025-08-27T13-59-17.638+05:30","0x49","0x0F 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.645+05:30","0x162","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.653+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.660+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.668+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.675+05:30","0x163","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.682+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.689+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.697+05:30","0x49","0x10 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.704+05:30","0x18F","0x00 0xFF 0xF8 0x00 0x00 0xFF 0x1F 0x00"
"2025-08-27T13-59-17.711+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.719+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.731+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.739+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.746+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.753+05:30","0x161","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.761+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
